car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
52663041,https://auto.drom.ru/novosibirsk/audi/q5/52663041.html,Audi Q5,2015,2370000,2.0,225,АКПП,130000
52665151,https://auto.drom.ru/chelyabinsk/audi/q7/52665151.html,Audi Q7,2019,5450000,3.0,249,АКПП,128000
52701529,https://auto.drom.ru/novosibirsk/audi/a3/52701529.html,Audi A3,2012,1285000,1.0,105,робот,64160
52711098,https://auto.drom.ru/novosibirsk/audi/a6/52711098.html,Audi A6,2016,2750000,2.0,249,робот,192000
52769122,https://auto.drom.ru/biysk/audi/a5/52769122.html,Audi A5,2007,1200000,3.0,265,вариатор,248000
52781711,https://auto.drom.ru/novosibirsk/audi/a3/52781711.html,Audi A3,2007,860000,2.0,150,АКПП,260000
52832007,https://auto.drom.ru/tomsk/audi/q7/52832007.html,Audi Q7,2015,3770000,3.0,333,АКПП,82000
52837262,https://auto.drom.ru/surgut/audi/q2/52837262.html,Audi Q2,2018,2320000,1.0,116,робот,91400
52848747,https://auto.drom.ru/tomsk/audi/a6_allroad_quattro/52848747.html,Audi A6 allroad quattro,2012,2500000,3.0,310,робот,146000
52856256,https://auto.drom.ru/simferopol/audi/q3/52856256.html,Audi Q3,2014,1650000,2.0,170,робот,170000
52857054,https://auto.drom.ru/prokopyevsk/audi/q3/52857054.html,Audi Q3,2020,4200000,2.0,180,робот,61807
52861962,https://auto.drom.ru/tyumen/audi/tt/52861962.html,Audi TT,2013,2200000,2.0,211,робот,85000
52888509,https://auto.drom.ru/chelyabinsk/audi/a5/52888509.html,Audi A5,2013,1660000,2.0,170,вариатор,186000
52907562,https://auto.drom.ru/omsk/audi/q7/52907562.html,Audi Q7,2015,3745000,3.0,333,АКПП,240000
52924058,https://auto.drom.ru/moscow/audi/q7/52924058.html,Audi Q7,2021,7150000,3.0,249,АКПП,69000
52931211,https://auto.drom.ru/spb/audi/a3/52931211.html,Audi A3,2014,1185000,1.0,105,робот,150118
52936679,https://auto.drom.ru/krasnoyarsk/audi/a6/52936679.html,Audi A6,2020,4800000,2.0,190,робот,98000
52948890,https://auto.drom.ru/moscow/audi/q5/52948890.html,Audi Q5,2013,2390000,2.0,225,АКПП,144200
52967559,https://auto.drom.ru/perm/audi/a6/52967559.html,Audi A6,2018,2650000,2.0,190,робот,87000
52981935,https://auto.drom.ru/irkutsk/audi/q7/52981935.html,Audi Q7,2019,6300000,3.0,249,АКПП,65000
52983298,https://auto.drom.ru/nizhnekamsk/audi/a4/52983298.html,Audi A4,2014,1550000,2.0,170,вариатор,96800
52989330,https://auto.drom.ru/sevastopol/audi/q3/52989330.html,Audi Q3,2016,2100000,2.0,180,робот,204000
52989888,https://auto.drom.ru/minsk/audi/q5/52989888.html,Audi Q5,2018,3300000,2.0,252,робот,38000
52990773,https://auto.drom.ru/surgut/audi/q7/52990773.html,Audi Q7,2019,4999000,2.0,252,АКПП,59975
52991578,https://auto.drom.ru/moscow/audi/a4/52991578.html,Audi A4,2001,540000,2.0,130,вариатор,271820
53000270,https://auto.drom.ru/moscow/audi/a6/53000270.html,Audi A6,2012,1650000,2.0,180,вариатор,171000
53004570,https://auto.drom.ru/moscow/audi/rs_q3/53004570.html,Audi RS Q3,2015,3489000,3.0,340,робот,96819
53005044,https://auto.drom.ru/ekaterinburg/audi/q5/53005044.html,Audi Q5,2013,1879999,3.0,272,АКПП,187000
53007876,https://auto.drom.ru/achinsk/audi/a6/53007876.html,Audi A6,2016,2900000,2.0,249,робот,130000
53017347,https://auto.drom.ru/kerch/audi/q5/53017347.html,Audi Q5,2019,3750000,2.0,163,робот,105000
