car_id,href,brand_model,production_year,price,volume,power,gearbox_type,mileage
551223452,https://auto.drom.ru/anapa/toyota/camry/551223452.html,Toyota Camry,2015,3350000,3.0,181,АКПП,39800
552112695,https://auto.drom.ru/novosibirsk/toyota/camry/552112695.html,Toyota Camry,2012,2350000,3.0,181,АКПП,155000
553964337,https://auto.drom.ru/krasnoyarsk/toyota/camry/553964337.html,Toyota Camry,2013,1930000,3.0,181,АКПП,210000
554414753,https://auto.drom.ru/moscow/toyota/camry/554414753.html,Toyota Camry,2019,3398000,3.0,181,АКПП,93353
556287960,https://auto.drom.ru/spb/toyota/camry/556287960.html,Toyota Camry,2018,2398000,3.0,181,АКПП,130000
556879320,https://auto.drom.ru/istra/toyota/camry/556879320.html,Toyota Camry,2016,2550000,4.0,249,АКПП,148000
557712766,https://auto.drom.ru/kaliningrad/toyota/camry/557712766.html,Toyota Camry,2019,3450000,4.0,249,АКПП,91000
558521002,https://auto.drom.ru/irkutsk/toyota/camry/558521002.html,Toyota Camry,2014,1990000,3.0,181,АКПП,114000
559846063,https://auto.drom.ru/omsk/toyota/camry/559846063.html,Toyota Camry,2020,3630000,3.0,181,АКПП,55000
561640657,https://auto.drom.ru/barnaul/toyota/camry/561640657.html,Toyota Camry,2013,1990000,3.0,181,АКПП,198000
562268769,https://auto.drom.ru/ekaterinburg/toyota/camry/562268769.html,Toyota Camry,2014,1990000,2.0,148,АКПП,172000
564673397,https://auto.drom.ru/moscow/toyota/camry/564673397.html,Toyota Camry,2018,3300000,3.0,181,АКПП,85000
567199830,https://auto.drom.ru/novosibirsk/toyota/camry/567199830.html,Toyota Camry,2015,2050000,3.0,181,АКПП,201500
567434778,https://auto.drom.ru/abakan/toyota/camry/567434778.html,Toyota Camry,2014,2165000,3.0,181,АКПП,147000
568296673,https://auto.drom.ru/kerch/toyota/camry/568296673.html,Toyota Camry,2012,1850000,4.0,277,АКПП,177000
572366551,https://auto.drom.ru/stavropol/toyota/camry/572366551.html,Toyota Camry,2018,3150000,3.0,181,АКПП,84501
572602788,https://auto.drom.ru/novosibirsk/toyota/camry/572602788.html,Toyota Camry,2013,1750000,4.0,249,АКПП,223000
